Clade.name,Clade.age,N.tips,Clade.size,study_code,tree_file,neglnL,lambda,mu,net.div,turn,ef,lambda_lower,mu_lower,net.div_lower,turn_lower,ef_lower,lambda_upper,mu_upper,net.div_upper,turn_upper,ef_upper,tot_bl
Odonata,236.1,521,1964,L2016.cr.pr,henaodiaz_etal_trees-master//phylo_L2016.cr.pr_.txt,2590.166886,0.040094179,0.012438994,0.027655185,0.052533173,0.31024439,0.024126766,0.003609526,0.012076854,0.036176678,0.110833325,0.064778882,0.023968317,0.057599223,0.071958541,0.499441659,29076.55617
Lobelioidae,5,145,550,L2017.tr.pr,henaodiaz_etal_trees-master//phylo_L2017.tr.pr_.txt,193.8288923,1.517937559,0.451228839,1.06670872,1.969166398,0.297264427,0.7870846,0.050356783,0.277023928,1.297145273,0.040389195,3.649089262,1.492840957,3.501705485,3.796473038,0.648037926,212.3668979
Phymatinae,77.6,28,29,M2017.pr,henaodiaz_etal_trees-master//phylo_M2017.pr_.txt,110.2083816,0.050807843,0.022473084,0.028334759,0.073280928,0.442315259,0.014015395,0.002110623,-0.014483357,0.029957056,0.075795098,0.209373958,0.119863418,0.193504438,0.225243478,1.137439258,670.066438
Balistidaea,18.6,32,42,MC2016a.cr.pr,henaodiaz_etal_trees-master//phylo_MC2016a.cr.pr_.txt,89.56822382,0.170236016,0.024497885,0.145738131,0.1947339,0.143905417,0.07692924,0.002083408,0.004181028,0.149677452,0.0141158,0.734520379,0.362040654,0.724152036,0.744888721,0.945650989,218.6137839
Monacanthidae,33.2,48,109,MC2016b.cr.pr,henaodiaz_etal_trees-master//phylo_MC2016b.cr.pr_.txt,154.7742145,0.22527129,0.136776249,0.088495041,0.36204754,0.607162363,0.062579919,8.96887276953797e-05,0.003904779,0.12125506,0.000740217,0.815359849,0.394843454,0.814756305,0.815963392,0.937603323,489.6868005
Spermacoceae,36.8,365,1346,N2017a.tr.pr,henaodiaz_etal_trees-master//phylo_N2017a.tr.pr_.txt,978.0251871,1.00010195,0.892769977,0.107331974,1.892871927,0.892678968,0.746661564,0.658569238,0.046341394,1.446981734,0.835310501,1.32936827,1.180832898,0.218932994,2.439803545,0.937935209,2046.134678
Cephalotes,42.6,116,118,P2016,henaodiaz_etal_trees-master//phylo_P2016_.txt,394.438828,0.085845816,0.00379502,0.082050796,0.089640836,0.044207394,0.044059873,0.000142355,0.017187691,0.070932056,0.002010952,0.207701532,0.07884471,0.207283854,0.20811921,0.609901491,1363.776863
Testudinata,315.8,294,335,P2017,henaodiaz_etal_trees-master//phylo_P2017_.txt,1298.13401,0.042020752,0.015631091,0.026389661,0.057651843,0.371985043,0.02224845,1.10037589981724e-05,0.011484272,0.033012628,0.000333431,0.074973529,0.024454203,0.07494853,0.074998527,0.483816989,9196.924254
Squamata,174.1,4161,9400,PB2014.cr.pr,henaodiaz_etal_trees-master//phylo_PB2014.cr.pr_.txt,16861.43261,0.067528471,1.01092908373064e-14,0.067528471,0.067528471,1.49704128603168e-13,0.063594929,9.85640443972737e-15,0.061350616,0.065839242,1.497041e-13,0.071824344,0.002448332,0.071824344,0.071824344,0.035290754,91758.06845
Caniformia,23,34,174,pg1646.pr,henaodiaz_etal_trees-master//phylo_pg1646.pr_.txt,93.73235507,0.762577981,0.621805293,0.140772688,1.384383274,0.81539896,0.204885417,0.079104606,0.000971957,0.408798878,0.239933212,2.674186158,1.653964292,2.032560083,3.315812232,0.995256095,220.3
